immediate_dec,immediate_hex,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
0,0x00,0x0000,0x0000,0xFFEE,0x0000,0x0014,0x000E,0x0000,0x007E,0x0000,0x8000,0xFFFD,0x0000,0xFFFF,0x0000,0x000E,0x0000
1,0x01,0x0001,0x0001,0xFFEE,0x0000,0x0015,0x000E,0x0001,0x008C,0xFFFB,0x4000,0xFFFA,0xC000,0xFFFE,0x0100,0x000E,0x0000
2,0x02,0x0002,0x0002,0xFFEC,0x0000,0x0016,0x000E,0x0002,0x009A,0xFFF6,0x0000,0xFFF4,0x8000,0xFFFC,0x0200,0x000E,0x0000
3,0x03,0x0003,0x0003,0xFFEC,0x0000,0x0017,0x000E,0x0003,0x00A8,0xFFF1,0xC000,0xFFE8,0x4000,0xFFF8,0x0300,0x000E,0x0000
4,0x04,0x0004,0x0004,0xFFEA,0x0000,0x0010,0x000E,0x0004,0x00B6,0xFFEC,0x8000,0xFFD0,0x0000,0xFFF0,0x0400,0x000E,0x0000
5,0x05,0x0005,0x0005,0xFFEA,0x0000,0x0011,0x000E,0x0005,0x00C4,0xFFE7,0x4000,0xFFA0,0xC000,0xFFE0,0x0500,0x000E,0x0000
6,0x06,0x0006,0x0006,0xFFE8,0x0000,0x0012,0x000E,0x0006,0x00D2,0xFFE2,0x0000,0xFF40,0x8000,0xFFC0,0x0600,0x000E,0x0000
7,0x07,0x0007,0x0007,0xFFE8,0x0000,0x0013,0x000E,0x0007,0x00E0,0xFFDD,0xC000,0xFE80,0x4000,0xFF80,0x0700,0x000E,0x0000
8,0x08,0x0008,0x0008,0xFFE6,0x0000,0x001C,0x000E,0x0008,0x00EE,0xFFD8,0x8000,0xFD00,0x0000,0xFF00,0x0800,0x000E,0x0000
9,0x09,0x0009,0x0009,0xFFE6,0x0000,0x001D,0x000E,0x0009,0x00FC,0xFFD3,0x4000,0xFA00,0xC000,0xFE00,0x0900,0x000E,0x0000
10,0x0A,0x000A,0x000A,0xFFE4,0x0000,0x001E,0x000E,0x000A,0x010A,0xFFCE,0x0000,0xF400,0x8000,0xFC00,0x0A00,0x000E,0x0000
11,0x0B,0x000B,0x000B,0xFFE4,0x0000,0x001F,0x000E,0x000B,0x0118,0xFFC9,0xC000,0xE800,0x4000,0xF800,0x0B00,0x000E,0x0000
12,0x0C,0x000C,0x000C,0xFFE2,0x0000,0x0018,0x000E,0x000C,0x0126,0xFFC4,0x8000,0xD000,0x0000,0xF000,0x0C00,0x000E,0x0000
13,0x0D,0x000D,0x000D,0xFFE2,0x0000,0x0019,0x000E,0x000D,0x0134,0xFFBF,0x4000,0xA000,0xC000,0xE000,0x0D00,0x000E,0x0000
14,0x0E,0x000E,0x000E,0xFFE0,0x0000,0x001A,0x000E,0x000E,0x0142,0xFFBA,0x0000,0x4000,0x8000,0xC000,0x0E00,0x000E,0x0000
15,0x0F,0x000F,0x000F,0xFFE0,0x0000,0x001B,0x000E,0x000F,0x0150,0xFFB5,0xC000,0x8000,0x4000,0x8000,0x0F00,0x000E,0x0000
16,0x10,0x0010,0x0010,0xFFEE,0x0000,0x0004,0x000E,0x0010,0x015E,0xFFB0,0x8000,0x0000,0x0000,0x0000,0x1000,0x000E,0x0000
17,0x11,0x0011,0x0011,0xFFEE,0x0000,0x0005,0x000E,0x0011,0x016C,0xFFAB,0x4000,0x0000,0xC000,0x0000,0x1100,0x000E,0x0000
18,0x12,0x0012,0x0012,0xFFEC,0x0000,0x0006,0x000E,0x0012,0x017A,0xFFA6,0x0000,0x0000,0x8000,0x0000,0x1200,0x000E,0x0000
19,0x13,0x0013,0x0013,0xFFEC,0x0000,0x0007,0x000E,0x0013,0x0188,0xFFA1,0xC000,0x0000,0x4000,0x0000,0x1300,0x000E,0x0000
20,0x14,0x0014,0x0014,0xFFEA,0x0000,0x0000,0x000E,0x0014,0x0196,0xFF9C,0x8000,0x0000,0x0000,0x0000,0x1400,0x000E,0x0000
21,0x15,0x0015,0x0015,0xFFEA,0x0000,0x0001,0x000E,0x0015,0x01A4,0xFF97,0x4000,0x0000,0xC000,0x0000,0x1500,0x000E,0x0000
22,0x16,0x0016,0x0016,0xFFE8,0x0000,0x0002,0x000E,0x0016,0x01B2,0xFF92,0x0000,0x0000,0x8000,0x0000,0x1600,0x000E,0x0000
23,0x17,0x0017,0x0017,0xFFE8,0x0000,0x0003,0x000E,0x0017,0x01C0,0xFF8D,0xC000,0x0000,0x4000,0x0000,0x1700,0x000E,0x0000
24,0x18,0x0018,0x0018,0xFFE6,0x0000,0x000C,0x000E,0x0018,0x01CE,0xFF88,0x8000,0x0000,0x0000,0x0000,0x1800,0x000E,0x0000
25,0x19,0x0019,0x0019,0xFFE6,0x0000,0x000D,0x000E,0x0019,0x01DC,0xFF83,0x4000,0x0000,0xC000,0x0000,0x1900,0x000E,0x0000
26,0x1A,0x001A,0x001A,0xFFE4,0x0000,0x000E,0x000E,0x001A,0x01EA,0xFF7E,0x0000,0x0000,0x8000,0x0000,0x1A00,0x000E,0x0000
27,0x1B,0x001B,0x001B,0xFFE4,0x0000,0x000F,0x000E,0x001B,0x01F8,0xFF79,0xC000,0x0000,0x4000,0x0000,0x1B00,0x000E,0x0000
28,0x1C,0x001C,0x001C,0xFFE2,0x0000,0x0008,0x000E,0x001C,0x0206,0xFF74,0x8000,0x0000,0x0000,0x0000,0x1C00,0x000E,0x0000
29,0x1D,0x001D,0x001D,0xFFE2,0x0000,0x0009,0x000E,0x001D,0x0214,0xFF6F,0x4000,0x0000,0xC000,0x0000,0x1D00,0x000E,0x0000
30,0x1E,0x001E,0x001E,0xFFE0,0x0000,0x000A,0x000E,0x001E,0x0222,0xFF6A,0x0000,0x0000,0x8000,0x0000,0x1E00,0x000E,0x0000
31,0x1F,0x001F,0x001F,0xFFE0,0x0000,0x000B,0x000E,0x001F,0x0230,0xFF65,0xC000,0x0000,0x4000,0x0000,0x1F00,0x000E,0x0000
32,0x20,0x0020,0x0020,0xFFCE,0x0000,0x0034,0x000E,0x0020,0x023E,0xFF60,0x8000,0x0000,0x0000,0x0000,0x2000,0x000E,0x0000
33,0x21,0x0021,0x0021,0xFFCE,0x0000,0x0035,0x000E,0x0021,0x024C,0xFF5B,0x4000,0x0000,0xC000,0x0000,0x2100,0x000E,0x0000
34,0x22,0x0022,0x0022,0xFFCC,0x0000,0x0036,0x000E,0x0022,0x025A,0xFF56,0x0000,0x0000,0x8000,0x0000,0x2200,0x000E,0x0000
35,0x23,0x0023,0x0023,0xFFCC,0x0000,0x0037,0x000E,0x0023,0x0268,0xFF51,0xC000,0x0000,0x4000,0x0000,0x2300,0x000E,0x0000
36,0x24,0x0024,0x0024,0xFFCA,0x0000,0x0030,0x000E,0x0024,0x0276,0xFF4C,0x8000,0x0000,0x0000,0x0000,0x2400,0x000E,0x0000
37,0x25,0x0025,0x0025,0xFFCA,0x0000,0x0031,0x000E,0x0025,0x0284,0xFF47,0x4000,0x0000,0xC000,0x0000,0x2500,0x000E,0x0000
38,0x26,0x0026,0x0026,0xFFC8,0x0000,0x0032,0x000E,0x0026,0x0292,0xFF42,0x0000,0x0000,0x8000,0x0000,0x2600,0x000E,0x0000
39,0x27,0x0027,0x0027,0xFFC8,0x0000,0x0033,0x000E,0x0027,0x02A0,0xFF3D,0xC000,0x0000,0x4000,0x0000,0x2700,0x000E,0x0000
40,0x28,0x0028,0x0028,0xFFC6,0x0000,0x003C,0x000E,0x0028,0x02AE,0xFF38,0x8000,0x0000,0x0000,0x0000,0x2800,0x000E,0x0000
41,0x29,0x0029,0x0029,0xFFC6,0x0000,0x003D,0x000E,0x0029,0x02BC,0xFF33,0x4000,0x0000,0xC000,0x0000,0x2900,0x000E,0x0000
42,0x2A,0x002A,0x002A,0xFFC4,0x0000,0x003E,0x000E,0x002A,0x02CA,0xFF2E,0x0000,0x0000,0x8000,0x0000,0x2A00,0x000E,0x0000
43,0x2B,0x002B,0x002B,0xFFC4,0x0000,0x003F,0x000E,0x002B,0x02D8,0xFF29,0xC000,0x0000,0x4000,0x0000,0x2B00,0x000E,0x0000
44,0x2C,0x002C,0x002C,0xFFC2,0x0000,0x0038,0x000E,0x002C,0x02E6,0xFF24,0x8000,0x0000,0x0000,0x0000,0x2C00,0x000E,0x0000
45,0x2D,0x002D,0x002D,0xFFC2,0x0000,0x0039,0x000E,0x002D,0x02F4,0xFF1F,0x4000,0x0000,0xC000,0x0000,0x2D00,0x000E,0x0000
46,0x2E,0x002E,0x002E,0xFFC0,0x0000,0x003A,0x000E,0x002E,0x0302,0xFF1A,0x0000,0x0000,0x8000,0x0000,0x2E00,0x000E,0x0000
47,0x2F,0x002F,0x002F,0xFFC0,0x0000,0x003B,0x000E,0x002F,0x0310,0xFF15,0xC000,0x0000,0x4000,0x0000,0x2F00,0x000E,0x0000
48,0x30,0x0030,0x0030,0xFFCE,0x0000,0x0024,0x000E,0x0030,0x031E,0xFF10,0x8000,0x0000,0x0000,0x0000,0x3000,0x000E,0x0000
49,0x31,0x0031,0x0031,0xFFCE,0x0000,0x0025,0x000E,0x0031,0x032C,0xFF0B,0x4000,0x0000,0xC000,0x0000,0x3100,0x000E,0x0000
50,0x32,0x0032,0x0032,0xFFCC,0x0000,0x0026,0x000E,0x0032,0x033A,0xFF06,0x0000,0x0000,0x8000,0x0000,0x3200,0x000E,0x0000
51,0x33,0x0033,0x0033,0xFFCC,0x0000,0x0027,0x000E,0x0033,0x0348,0xFF01,0xC000,0x0000,0x4000,0x0000,0x3300,0x000E,0x0000
52,0x34,0x0034,0x0034,0xFFCA,0x0000,0x0020,0x000E,0x0034,0x0356,0xFEFC,0x8000,0x0000,0x0000,0x0000,0x3400,0x000E,0x0000
53,0x35,0x0035,0x0035,0xFFCA,0x0000,0x0021,0x000E,0x0035,0x0364,0xFEF7,0x4000,0x0000,0xC000,0x0000,0x3500,0x000E,0x0000
54,0x36,0x0036,0x0036,0xFFC8,0x0000,0x0022,0x000E,0x0036,0x0372,0xFEF2,0x0000,0x0000,0x8000,0x0000,0x3600,0x000E,0x0000
55,0x37,0x0037,0x0037,0xFFC8,0x0000,0x0023,0x000E,0x0037,0x0380,0xFEED,0xC000,0x0000,0x4000,0x0000,0x3700,0x000E,0x0000
56,0x38,0x0038,0x0038,0xFFC6,0x0000,0x002C,0x000E,0x0038,0x038E,0xFEE8,0x8000,0x0000,0x0000,0x0000,0x3800,0x000E,0x0000
57,0x39,0x0039,0x0039,0xFFC6,0x0000,0x002D,0x000E,0x0039,0x039C,0xFEE3,0x4000,0x0000,0xC000,0x0000,0x3900,0x000E,0x0000
58,0x3A,0x003A,0x003A,0xFFC4,0x0000,0x002E,0x000E,0x003A,0x03AA,0xFEDE,0x0000,0x0000,0x8000,0x0000,0x3A00,0x000E,0x0000
